Airports with ACARS Soundings. Downloaded from: https://rucsoundings.noaa.gov/airports.html

GSD_ID name wmoid  lat     lon   elev(m) Description
1012 HLLT      0   32.80   13.20   80 Tripoli
0375  HLP  96745   -6.18  106.83    8 Jakarta-Halim, Indonesia
0065  HNL  10001   21.33 -157.93    2 Honolulu, HI
0338  HOG      0   20.50  -76.23 9999 Holguin, Cuba
0066  HOU  72243   29.65  -95.28   15 Houston/Hobby, TX
0067  HPN  90010   41.07  -73.72  134 White Plains, NY
1384 HSSS  62721   15.59   32.55  384 Khartoum, Sudan
0068  HSV  72323   34.65  -86.77  196 Huntsville, AL
2606 HTAR  63789   -3.37   36.63 1387 Arusha, Tanzania
1013 HTDA      0   -6.90   39.20   54 Dar Es Salaam
1382 HUEN  63705    0.04   32.44 1153 Entebbe/Kampala, Uganda
0300  HXX      0  -34.52  144.83 9999 Hay N.S.W., AU
2922  HYD  43128   17.24   78.43  617 Hyderabad Intl, IN
0069  IAD  72403   38.98  -77.47   85 Dulles Intl, VA
0070  IAH  72243   29.97  -95.35   13 Houston Intl, TX
0071  ICT  72450   37.65  -97.43  406 Wichita, KS
0072  IDA  90011   43.52 -112.07 1445 Idaho Falls, ID
0789  III  40754   35.69   51.31 1208 Tehran/Mehrabad, Iran
0073  IJD  90034   41.74  -72.18   75 Willimantic, CT
2853  IKO  70482   52.90 -168.80   23 NIKOLSKI, AK
2958  ILM  72301   34.27  -77.92    9 Wilmington, NC/US
2955  IMT      0   45.82  -88.12  358 Iron Mtn/Ford, MI/US
0074  IND  72438   39.73  -86.27  246 Indianapolis, IN
2196  INL      0   48.57  -93.40  361 Falls Intl
1520  IPZ      0   45.50   12.30    2 Venice
1296  IRF      0   41.80   12.20    4 Rome/Fiumicino
0075  ISP  90012   40.78  -73.10   30 Islip/Macarthur, NY
0289  IST  17060   40.97   28.82   37 Istanbul/Atatur TU
